"Id","Methodology version","Company id","Company","Assessment date","Publication date","Level","Notes","Q1L0|Does the company acknowledge climate change as a significant issue for the business?","Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?","Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?","Q4L2|Has the company set greenhouse gas emission reduction targets?","Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?","Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?","Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?","Q8L3|Does the company report on Scope 3 emissions?","Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?","Q10L3|Does the company support domestic and international efforts to mitigate climate change?","Q11L3|Does the company disclose its membership and involvement in trade associations engaged in climate issues?","Q12L3|Does the company have a process to manage climate-related risks?","Q13L3|Does the company disclose Scope 3 use of product emissions?","Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?","Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?","Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?","Q17L4|Does the company undertake climate scenario planning?","Q18L4|Does the company disclose an internal price of carbon?","Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?"
,"3","1025","China Shenhua Energy","30/03/2020","2020-10","2",,"Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No"
,"3","1027","Chubu Electric Power","05/03/2020","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Not applicable","Yes","Yes","Yes","Yes","No","No"
,"3","1311","Chugoku","02/01/2020","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Not applicable","Yes","No","Yes","No","Yes","No"
,"3","1031","CNOOC","06/02/2020","2020-10","2",,"Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
,"3","1526","Coronado Global Resources","17/03/2020","2020-10","2",,"Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
,"3","1057","Ecopetrol","13/03/2020","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No"
,"3","1503","EDP","23/03/2020","2020-10","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","Yes","Yes","Yes","No"
,"3","1310","Electric Power Development","26/03/2020","2020-10","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","No","Yes","No","No","No"
,"3","1063","Enel","31/03/2020","2020-10","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","Yes","Yes","Yes","No"
,"3","1065","Eni","13/08/2019","2020-10","4STAR",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
,"3","1194","Equinor","31/03/2020","2020-10","4STAR",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
,"3","1522","Fortescue","31/03/2020","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Not applicable","No","No","No","No","No","No"
,"3","1516","Galp Energia","31/03/2020","2020-10","4STAR",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
,"3","1103","Inner Mongolia Yitai Coal","19/11/2019","2020-10","1",,"Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"3","1518","INPEX","12/03/2020","2020-10","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
,"3","1105","Jastrzebska Spolka Weglowa","31/03/2020","2020-10","2",,"Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"3","1108","Eneos (Oil & Gas)","27/12/2019","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No"
,"3","1300","Kansai Elec Power","31/03/2020","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Not applicable","Yes","No","Yes","Yes","Yes","Yes"
,"3","1307","Kyushu Elec Power","31/03/2020","2020-10","1",,"Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Not applicable","Yes","No","No","No","No","No"
,"3","1529","Mitsubishi Corp","16/03/2020","2020-10","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
,"3","1530","Mitsui & Co (Coal Mining)","26/11/2019","2020-10","2",,"Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No"
,"3","1527","New Hope","30/01/2020","2020-10","1",,"Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
,"3","1528","Nippon Coke & Engineering","02/12/2019","2020-10","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"3","1534","Oil Search","28/08/2019","2020-10","2",,"Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
,"3","1145","OMV","31/03/2020","2020-10","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
,"3","1146","Origin Energy","31/12/2019","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Not applicable","Yes","No","No","Yes","Yes","No"
,"3","1147","Orsted","31/03/2020","2020-10","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","Yes","No","Yes","No"
,"3","1154","Petrochina","22/10/2019","2020-10","1",,"Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
,"3","1313","PGE","31/03/2020","2020-10","1",,"Yes","No","Yes","Yes","No","No","Yes","No","Yes","No","No","No","Not applicable","Yes","No","No","No","No","No"
,"3","1224","Santos","06/03/2020","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No"
,"3","1514","South32 (Diversified mining)","18/09/2019","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
,"3","1531","Sumitomo Corp","15/01/2020","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","No","No","No"
,"3","1302","Terna","15/07/2019","2020-10","4STAR",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","Yes","Yes","Yes","Yes"
,"3","1304","Tohoku Elec Power","19/03/2020","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Not applicable","Yes","No","Yes","No","Yes","No"
,"3","1301","TEPCO","31/03/2020","2020-10","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","Yes","Yes","Yes","Yes","No"
,"3","1234","Washington H. Soul Pattinson","14/12/2019","2020-10","2",,"Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No"
,"3","1238","Whitehaven Coal","12/12/2019","2020-10","2",,"Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No"
,"3","1239","Woodside Petroleum","02/08/2019","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No"
,"3","1242","Yanzhou Coal Mining","26/09/2019","2020-10","1",,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
,"3","1360","South32 (Coal Mining)","18/09/2019","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes"
,"3","1519","Eneos (Coal Mining)","27/12/2019","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No"
,"3","1014","Daikin Industries","15/02/2020","2020-10","3",,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Not applicable","Yes","Yes","Yes","Yes","Yes","No"
,"3","1009","Fiat Chrysler","26/09/2019","2020-10","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
,"3","1096","Hitachi","29/03/2020","2020-10","4",,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not applicable","Yes","No","Yes","Yes","Yes","No"
