id,methodology_version,company_id,Company,Assessment date,Publication date,Level,Notes,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company explicitly recognise climate change as a relevant risk and/or opportunity to the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,"Q12L4|Has the company incorporated environmental, social and governance issues into executive remuneration?",Q13L4|Has the company reduced its operational (Scope 1 and 2) greenhouse gas emissions over the past 3 years?,Q14L4|Does the company provide information on the business costs associated with climate change?
,1,1029,Geely,2017-11-10,2018-02,1,,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No
,1,1043,General Motors,2016-10-15,2018-02,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,1,1044,Groupe PSA,2017-10-31,2018-02,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
,1,1144,Hokuetsu,2016-12-16,2018-02,1,,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
,1,1052,Honda,2017-11-23,2018-02,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
,1,1062,Hyundai,2017-12-07,2018-02,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
,1,1150,International Paper,2017-12-05,2018-02,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
,1,1075,Kia,2017-11-10,2018-02,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
,1,1168,Lee & Man Paper Manufacturing,2017-12-07,2018-02,0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,1,1076,Mazda,2016-11-25,2018-02,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
,1,1177,Mondi,2017-09-18,2018-02,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,1,1178,Nine Dragons Paper Industries,2017-10-02,2018-02,0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,1,1183,Nippon Paper Industries,2016-11-25,2018-02,3,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes
,1,1080,Nissan,2017-12-07,2018-02,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
,1,1187,Oji Holdings,2016-11-25,2018-02,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No
,1,1191,Pap Y Cart Euro,2017-04-01,2018-02,1,,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
,1,1085,Renault,2017-04-13,2018-02,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
,1,1196,Sappi,2017-02-24,2018-02,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
,1,1197,Shandong Chenming,2017-10-26,2018-02,1,,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
,1,1200,Stora Enso,2017-04-13,2018-02,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,1,1087,Subaru,2017-04-13,2018-02,1,,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes
,1,1201,Suzano Papel e Celulose,2017-01-20,2018-02,2,,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No
,1,1090,Suzuki,2017-04-13,2018-02,1,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No
,1,1095,Tesla,2016-11-16,2018-02,0,,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,1,1097,Toyota,2017-04-13,2018-02,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
,1,1207,UPM-Kymmene,2017-10-07,2018-02,3,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
,1,1098,Volkswagen,2017-04-14,2018-02,4,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
,1,1243,YFY,2016-11-16,2018-02,1,,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
