id,Name,ISIN,Sector,market cap group,Geography iso,Headquarters geography iso,CA100,Visibility status,SEDOL,historical_comments
1147,Orsted,DK0060094928,Electricity Utilities,Large,DNK,DNK,,published,BYT16L4,
1026,PACCAR,US6937181088,Other Industrials,Large,USA,USA,TRUE,published,2665861,
1046,Panasonic,JP3866800000,Consumer Goods,Large,JPN,JPN,TRUE,published,6572707,
1191,Pap Y Cart Euro,ES0168561019,Paper,Small,ESP,ESP,,published,,
1165,Pepsico,US7134481081,Consumer Goods,Large,USA,USA,TRUE,published,2681511,
1153,Petrobras,BRPETRACNOR9,Oil & Gas,Large,BRA,BRA,TRUE,published,2682365,Petróleo Brasileiro SA
1154,Petrochina,CNE1000003W8,Oil & Gas,Large,CHN,CHN,TRUE,published,6226576,
1155,PG&E,US69331C1080,Electricity Utilities,Medium,USA,USA,,published,2689560,
1313,PGE,PLPGER000010,Electricity Utilities,Medium,POL,POL,TRUE,published,B544PW9,
1128,Philips,NL0000009538,Other industrials,Large,NLD,NLD,TRUE,published,5986622,
1156,Phillips 66,US7185461040,Oil & Gas,Large,USA,USA,TRUE,published,B78C4Y8,
1157,Pinnacle West Capital,US7234841010,Electricity Utilities,Medium,USA,USA,,published,2048804,
1158,Pioneer Natural Resource,US7237871071,Oil & Gas,Large,USA,USA,,published,2690830,
1015,Posco,KR7005490008,Steel,Large,KOR,KOR,TRUE,published,6693233,
1160,Power Assets,HK0006000050,Electricity Utilities,Large,HKG,HKG,TRUE,published,6435327,
1161,PPL,US69351T1060,Electricity Utilities,Large,USA,USA,TRUE,published,2680905,
1291,Press Metal,"MYL8869OO009, AU000000S320",Aluminium,Large,MYS,MYS,,published,BF0J5S4,
1138,Procter & Gamble,US7427181091,Consumer Goods,Large,USA,USA,TRUE,published,2704407,
1163,PTT,TH0646010Z00,Oil & Gas,Large,THA,THA,TRUE,published,BD0BDH1,
1164,Public Service Enterprise Group,US7445731067,Electricity Utilities,Large,USA,USA,,published,2707677,PSEG
1116,Qantas,AU000000QAN2,Airlines,Large,AUS,AUS,TRUE,published,6710347,
1166,Red Electrica,ES0173093024,Electricity Utilities,Medium,ESP,ESP,,published,BD6FXN3,
1167,Reliance Industries,INE002A01018,Oil & Gas,Large,IND,IND,TRUE,published,6099626,
1085,Renault,FR0000131906,Autos,Large,FRA,FRA,TRUE,published,4712798,
1169,Repsol,ES0173516115,Oil & Gas,Large,ESP,ESP,TRUE,published,5669354,
1170,Rio Tinto (Aluminium),AU000000RIO1,Aluminium,Large,AUS,AUS,TRUE,published,6220103,
1249,Rolls-Royce,GB00B63H8491,Other Industrials,Large,GBR,GBR,TRUE,published,B63H849,
1172,Rosneft Oil,RU000A0J2Q06,Oil & Gas,Large,RUS,RUS,TRUE,published,B59SS16,
1173,Royal Dutch Shell,GB00B03MM408,Oil & Gas,Large,GBR,GBR,TRUE,published,B03MM40,
