Id,Name,ISIN,Sector,Market cap group,Geography iso,Headquarters geography iso,CA100,Visibility status
,Hon Hai Precision Industry,TW0002317005,Other Industrials,large,TWN,TWN,false,published
,Honda,JP3854600008,Autos,large,JPN,JPN,false,published
,Hyundai,KR7005380001,Autos,large,KOR,KOR,false,published
,Hyundai Steel,KR7004020004,Steel,large,KOR,KOR,false,published
,IAG,ES0177542018,Airlines,large,GBR,GBR,false,published
,Iberdrola,ES0144580Y14,Electricity Utilities,large,ESP,ESP,false,published
,Imperial Oil,CA4530384086,Oil & gas,large,CAN,CAN,false,published
,IndiGo,INE646L01027,Airlines,large,IND,IND,false,published
,Ingersoll-Rand,IE00B6330302,Other Industrials,large,USA,USA,false,published
,Inner Mongolia Yitai Coal,CNE000000SK7,Coal Mining,medium,CHN,CHN,false,published
,International Paper,US4601461035,Paper,large,USA,USA,false,published
,JFE Holdings,JP3386030005,Steel,large,JPN,JPN,false,published
,JSW Steel,INE019A01038,Steel,large,IND,IND,false,published
,JXTG,JP3386450005,Oil & gas,large,JPN,JPN,false,published
,Japan Airlines,JP3705200008,Airlines,large,JPN,JPN,false,published
,Jastrzebska Spolka Weglowa,PLJSW0000015,Coal Mining,medium,POL,POL,false,published
,Jetblue,US4771431016,Airlines,small,USA,USA,false,published
,KEPCO,KR7015760002,Electricity Utilities,large,KOR,KOR,false,published
,Kia,KR7000270009,Autos,large,KOR,KOR,false,published
,Kinder Morgan,US49456B1017,Oil & Gas Distribution,large,USA,USA,false,published
,Kobe Steel,JP3289800009,Steel,medium,JPN,JPN,false,published
,Korean Air,KR7003490000,Airlines,medium,KOR,KOR,false,published
,LATAM,CL0000000423,Airlines,large,CHL,CHL,false,published
,LafargeHolcim,CH0012214059,Cement,large,CHN,CHN,false,published
,Lee & Man Paper Manufacturing,KYG5427W1309,Paper,medium,CHN,CHN,false,published
,Lockheed Martin,US5398301094,Other Industrials,large,USA,USA,false,published
,Lufthansa,DE0008232125,Airlines,medium,DEU,DEU,false,published
,Lukoil,RU0009024277,Oil & gas,large,RUS,RUS,false,published
,LyondellBasell Industries,NL0009434992,Other Basic Materials,large,USA,USA,false,published
,Marathon Oil,US5658491064,Oil & gas,medium,USA,USA,false,published
,Marathon Petroleum,US56585A1025,Oil & gas,large,USA,USA,false,published
,Martin Marietta Materials,US5732841060,Cement,medium,USA,USA,false,published
,Mazda,JP3868400007,Autos,large,JPN,JPN,false,published
,Mitsubishi,JP3899800001,Autos,large,JPN,JPN,false,published
,Mondi,GB00B1CRLC47,Paper,medium,GBR,GBR,false,published
,NRG Energy,US6293775085,Electricity Utilities,medium,USA,USA,false,published
,NTPC,INE733E01010,Electricity Utilities,large,IND,IND,false,published
,National Grid,GB00BDR05C01,Electricity Utilities,large,GBR,GBR,false,published
,Nestle,CH0038863350,Consumer Goods,large,CHE,CHE,false,published
,NextEra Energy,US65339F1012,Electricity Utilities,large,USA,USA,false,published
,Nine Dragons Paper Industries,BMG653181005,Paper,large,CHN,CHN,false,published
,Nippon Light Metal,JP3700200003,Aluminium,small,JPN,JPN,false,published
,Nippon Paper Industries,JP3721600009,Paper,medium,JPN,JPN,false,published
,Nippon Steel & Sumitomo Metal,JP3381000003,Steel,large,JPN,JPN,false,published
,Nissan,JP3672400003,Autos,large,JPN,JPN,false,published
,Nisshin Steel,JP3676200003,Steel,medium,JPN,JPN,false,published
,Noble Energy,US6550441058,Oil & gas,medium,USA,USA,false,published
,Nornickel,RU0007288411,Other Basic Materials,large,RUS,RUS,false,published
,Norsk Hydro,NO0005052605,Aluminium,large,NOR,NOR,false,published
,NovaTek,RU000A0DKVS5,Oil & gas,large,RUS,RUS,false,published
,Novolipetsk Steel,RU0009046452,Steel,large,RUS,RUS,false,published
,Nucor,US6703461052,Steel,medium,USA,USA,false,published
,OMV,AT0000743059,Oil & gas,large,AUT,AUT,false,published
,Occidental Petroleum,US6745991058,Oil & gas,large,USA,USA,false,published
,Oil & Natural Gas,INE213A01029,Oil & gas,large,IND,IND,false,published
,Oji Holdings,JP3174410005,Paper,medium,JPN,JPN,false,published
,Origin Energy,AU000000ORG5,Electricity Utilities,large,AUS,AUS,false,published
,Orsted,DK0060094928,Electricity Utilities,large,DNK,DNK,false,published
,PG&E,US69331C1080,Electricity Utilities,large,USA,USA,false,published
,PPL,US69351T1060,Electricity Utilities,large,USA,USA,false,published
,PTT,TH0646010Z00,Oil & gas,large,THA,THA,false,published
