"Id","Eventable type","Eventable","Event type","Title","Description","Date","Url"
"50","Target","8943","Set","Set","","01/01/2020",""
"49","Legislation","1409","Amended","Amendment promulgated","","12/06/2020",""
"48","Legislation","1409","Implementation Details","Entry into force of 2020 amendment","","01/04/2022",""
"47","Litigation","7464","Filing","Complaint filed","","14/10/2014",""
"46","Litigation","7464","Settled","Proposed resolutions rejected","","31/07/2015",""
"45","Litigation","7464","Dismissed","Case rejected on appeal","","16/06/2016",""
"44","Litigation","7465","Filing","Case opened","","01/09/2009",""
"43","Litigation","7465","Settled","Case decided","","12/10/2010",""
"42","Litigation","7466","Filing","Case opened","","01/01/2017",""
"41","Litigation","7466","Settled","First decision","","25/08/2017",""
"40","Litigation","7466","Settled","Second decision","","15/12/2017",""
"39","Litigation","7467","Filing","Application filed","","07/11/2005",""
"38","Litigation","7467","Filing","Information request filed by council","","21/11/2005",""
"37","Litigation","7467","Settled","Preliminary approval granted","","19/01/2006",""
"36","Litigation","7467","Dismissed","Appeal dismissed","","25/08/2006",""
"35","Litigation","7468","Filing","Case opened","","29/01/2020",""
"34","Litigation","7468","Settled","Case decided","","04/04/2013",""
"33","Litigation","7469","Filing","Case opened","","16/05/2016",""
"32","Litigation","7469","Settled","Case decided","","16/06/2016",""
"31","Litigation","7470","Filing","Case opened","","09/12/2014",""
"30","Litigation","7470","Settled","Case decided","","14/01/2015",""
"29","Litigation","7471","Filing","Case filed","","01/09/2019",""
"28","Litigation","7471","Appealed","Case appealed","","01/01/2020",""
"27","Litigation","7471","Settled","Case decided","","28/08/2020",""
"26","Litigation","7472","Filing","Case filed","","02/09/2020",""
"25","Legislation","1564","Amended","Last amended","","08/09/2020",""
"24","Legislation","9692","Passed/Approved","Document approved","","20/12/2013",""
"23","Legislation","9693","Passed/Approved","Released","","20/07/2016",""
"22","Legislation","9694","Passed/Approved","Approved","","11/12/2018",""
"21","Legislation","1201","Amended","Amended","Amended by Directive 2019/944","05/06/2019",""
"20","Legislation","9695","Passed/Approved","Passed","","05/06/2019",""
"19","Legislation","9696","Passed/Approved","Approved","","17/04/2019",""
"18","Litigation","7476","Filing","Case filed","","08/09/2020",""
"17","Litigation","7477","Filing","Hearing","","02/05/2018",""
"16","Litigation","7477","Settled","Case decided","","10/05/2018",""
"15","Litigation","7478","Filing","Case filed","","01/05/2015",""
"14","Litigation","7478","Settled","Case decided","","12/06/2015",""
"13","Litigation","7479","Filing","Case opened","","15/05/2018",""
"12","Litigation","7479","Settled","Case decided","","31/07/2018",""
"11","Litigation","7480","Filing","Case filed","","24/10/2018",""
"10","Litigation","7480","Settled","Case closed","","11/12/2018",""
"9","Litigation","7481","Filing","hearing","","09/11/2015",""
"8","Litigation","7481","Settled","Case decided","","16/12/2015",""
"7","Litigation","7490","Filing","Case filed","","04/09/2015",""
"6","Litigation","7490","Dismissed","Appeal rejected","","18/12/2015",""
"5","Litigation","7343","Settled","Court decision","","22/09/2020",""
"4","Litigation","7313","Dismissed","Case dismissed","","05/06/2020",""
"3","Litigation","7379","Dismissed","Case dismissed","","30/09/2020",""
"2","Litigation","7309","Settled","Settlement reached","","02/11/2020",""
"1","Legislation","9739","Passed/Approved","Approved","","19/11/2020",""
