"Id","Name","External url","Language","Last verified on","Documentable id","Documentable type"
"2967","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2016/20160303_2016-NSWSC-169_decision.pdf","","31/01/2020","7276","Litigation"
"2965","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2007/20070607_Complaint-No.-302005_decision-1.pdf","English","31/01/2020","7280","Litigation"
"2964","Decision (pdf)","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2007/20070215_QLRT-33_decision.pdf","English","31/01/2020","7296","Litigation"
"2954","Opinion","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2017/20171115_OC-2317_opinion-2.pdf","English","31/01/2020","7305","Litigation"
"2953","Opinion","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2017/20171115_OC-2317_opinion-3.pdf","Spanish","31/01/2020","7305","Litigation"
"2950","judgment","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2016/20160609_C-15815_judgment.pdf","English","31/01/2020","7329","Litigation"
"2902","Link to official website","http://www.suin-juriscol.gov.co/viewDocument.asp?ruta=Decretos/30022853","Spanish","09/12/2019","9090","Legislation"
"2900","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2007/20070615_2007-QCA-200-Australia_decision-1.pdf","English","23/08/2017","7001","Litigation"
"2899","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2010/20100901_2010-HCA-28_decision-1.pdf","English","11/04/2016","7002","Litigation"
"2896","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2009/20090219_-2009-NCWELC-17-Australia_decision.pdf","English","23/08/2017","7006","Litigation"
"2894","Opinion","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2010/20100929_2010-FCA-1057_opinion-1.pdf","English","23/08/2017","7009","Litigation"
"2881","Decision","http://blogs2.law.columbia.edu/climate-change-litigation/wp-content/uploads/sites/16/non-us-case-documents/2007/20070813_2007-158-LGERA-349-Australia_decision.pdf","English","23/08/2017","7026","Litigation"
